name,company,technology,job,location.city,location.country,salary.low,salary.high,salary.currency,salary.avg,is_senior
"data engineer (sql, python, cloud)",Alterdata.io sp. z o.o.,data engineering,data_engineer,zdalna,,14000,22000,PLN,18000.0,False
remote senior aws data engineer,ClearScale,scala,data_engineer,zdalna,,28000,38000,PLN,33000.0,True
dwh/big data engineer,Sii Polska,,data_engineer,warszawa,POL,21000,26250,PLN,23625.0,False
senior data analytics engineer,Coforge,,data_engineer,zdalna,,46200,46200,PLN,46200.0,True
middle/senior data engineer (python),Provectus,,data_engineer,zdalna,,10923,21847,PLN,16385.0,True
senior scala big data engineer,Altimetrik Poland,spark,data_engineer,zdalna,,20000,28000,PLN,24000.0,True
senior data engineer,Coople,,data_engineer,zdalna,,18000,33000,PLN,25500.0,True
data engineer,GetInData,java,data_engineer,zdalna,,20160,30240,PLN,25200.0,False
data engineer,GetInData,aws,data_engineer,zdalna,,20160,30240,PLN,25200.0,False
data scientist / ml engineer,SpyroSoft,,data_engineer,wrocław,POL,18480,21840,PLN,20160.0,False
data engineer,Devire,python,data_engineer,zdalna,,13440,18480,PLN,15960.0,False
remote data science engineer,apreel Sp. z o.o.,python,data_engineer,zdalna,,20160,28560,PLN,24360.0,False
data engineer,Shiji Poland,spark,data_engineer,zdalna,,15000,20000,PLN,17500.0,False
data engineer,Sollers Consulting,,data_engineer,warszawa,POL,13000,18000,PLN,15500.0,False
bi developer / data engineer,Objectivity,,data_engineer,zdalna,,17600,25000,PLN,21300.0,False
